|    Run | Delivered LS | Delivered (/μb) |          Selected LS | Recorded (/μb) |
| 140180 |           69 |         1204.206 |               [1-55] |         927.566 |
| 140181 |           42 |          729.042 |               [1-13] |         195.861 |
| 140331 |          873 |        17222.830 |           [222-544], |       13871.020 |
|        |              |                  |           [546-614], |                 |
|        |              |                  | [626-626], [635-749] |                 |
| 140359 |           57 |         1269.102 |      [1-35], [40-43] |         812.983 |
| 140361 |          162 |         3495.519 |              [1-151] |        3216.423 |
| 140362 |          367 |         5570.584 |              [1-354] |        5502.570 |
| 140379 |          259 |         6893.507 |            [123-244] |        4482.460 |
| 140381 |           48 |         1728.117 |              [16-37] |         749.960 |
| 140382 |          227 |         7617.529 |   [1-128], [131-214] |        7089.466 |
| 140383 |          507 |        14681.933 |  [1-276], [281-447], |       13684.672 |
|        |              |                  |            [453-487] |                 |
| 140385 |          202 |         5284.809 |      [1-4], [26-30], |        3598.491 |
|        |              |                  |             [50-185] |                 |
| 140386 |           54 |         1367.553 |               [1-23] |         569.441 |
| 140387 |          152 |         3678.748 |              [7-137] |        3110.306 |
| 140388 |          549 |         4754.182 |              [1-114] |        2651.648 |
| 140399 |          724 |        13628.104 |  [1-251], [257-283], |       13139.036 |
|        |              |                  |            [285-708] |                 |
| 140401 |          551 |         4947.202 |              [1-266] |        4392.874 |
| 141880 |          223 |         5166.939 |              [1-200] |        4609.722 |
| 141881 |          724 |        14953.949 |   [1-572], [575-707] |       14363.950 |
| 141956 |          568 |        26657.775 | [202-445], [447-548] |       19230.703 |
| 141957 |           99 |         5263.678 |               [1-87] |        4383.057 |
| 141958 |           41 |         2128.335 |               [1-34] |        1705.218 |
| 141959 |          262 |        12977.897 |               [6-86] |        4026.959 |
| 141960 |          368 |        16707.523 |              [1-285] |       12995.040 |
| 141961 |          124 |         3477.515 |             [41-116] |        1741.197 |
| 142035 |          745 |        25109.156 |            [305-738] |       21984.860 |
| 142036 |          319 |        14379.994 |              [1-273] |       12289.327 |
| 142038 |          840 |        33748.216 |   [1-185], [187-830] |       33081.827 |
| 142039 |           19 |          707.915 |                [1-6] |         207.039 |
| 142040 |          511 |        15876.459 |              [1-341] |       12301.379 |
| 142076 |          760 |         7227.701 |           [512-536], |        6503.550 |
|        |              |                  | [381-398], [403-511] |                 |
| 142128 |          263 |         3709.766 |            [226-239] |         865.923 |
| 142129 |           67 |         4204.930 |               [1-45] |        2736.993 |
| 142130 |          823 |        43566.562 |  [1-787], [789-789], |       42616.540 |
|        |              |                  |            [791-816] |                 |
| 142132 |          242 |        11087.083 |     [1-62], [64-85], |       10375.682 |
|        |              |                  |  [88-111], [113-236] |                 |
| 142135 |          158 |         6948.074 |   [1-128], [130-151] |        6547.628 |
| 142136 |          234 |         9980.334 |              [1-224] |        9458.010 |
| 142137 |          847 |        25538.522 |   [1-477], [496-814] |       24676.320 |
| 142187 |          767 |        31961.649 |            [207-302] |        5551.719 |
| 142189 |          259 |        12009.794 |              [1-252] |       11612.672 |
| 142191 |          372 |        10670.157 |   [1-204], [206-363] |       10489.649 |
| 142264 |           84 |         5381.420 |               [7-62] |        3532.925 |
| 142265 |          263 |        13958.935 |              [1-187] |       10816.338 |
| 142303 |          249 |         8442.070 |            [138-229] |        5915.102 |
| 142304 |           21 |         1356.853 |               [1-11] |         612.104 |
| 142305 |          273 |        16637.305 |              [1-262] |       15825.586 |
| 142308 |           50 |         2835.653 |               [1-43] |        2345.748 |
| 142309 |          137 |         7483.680 |  [1-108], [110-110], |        5847.004 |
|        |              |                  |            [116-116] |                 |
| 142311 |          645 |        30616.395 |              [1-638] |       30114.738 |
| 142312 |          357 |        14640.842 |   [1-185], [204-342] |       13210.534 |
| 142313 |          194 |         7580.444 |              [1-149] |        5779.889 |
| 142413 |          229 |         7125.031 |            [133-222] |        5491.433 |
| 142414 |          207 |        11553.110 |              [8-145] |        7693.686 |
| 142417 |           14 |          690.312 |                [1-8] |         341.156 |
| 142418 |           51 |         2480.794 |               [1-40] |        1878.667 |
| 142419 |          254 |        11468.473 |              [1-243] |       10875.088 |
| 142422 |         1342 |        43950.709 |             [1-1299] |       43168.626 |
| 142513 |          121 |        10215.174 |   [1-101], [107-107] |        8432.289 |
| 142514 |          136 |         2669.593 |              [1-124] |        2596.681 |
| 142523 |          203 |         6012.949 |            [140-197] |        4042.498 |
| 142524 |          393 |        23415.244 |   [4-306], [327-347] |       19399.445 |
| 142525 |          208 |        10679.709 |              [1-181] |        9230.657 |
| 142528 |          986 |        42475.810 |              [1-976] |       41822.189 |
| 142530 |          110 |         4157.537 |               [1-82] |        3040.470 |
| 142535 |          127 |         4652.370 |              [1-118] |        4220.037 |
| 142537 |          234 |         3744.703 |   [1-114], [139-217] |        3707.233 |
| 142557 |          245 |        10139.106 |            [118-237] |        8162.407 |
| 142558 |          440 |        16079.218 |              [1-428] |       15924.613 |
| 142657 |           16 |         1397.318 |                [1-2] |          85.037 |
| 142658 |           24 |         2050.650 |                [1-5] |         371.862 |
| 142659 |           78 |         6277.986 |               [1-64] |        4967.979 |
| 142660 |           38 |         3088.407 |               [1-16] |        1231.645 |
| 142661 |           36 |         2883.126 |               [1-17] |        1270.152 |
| 142662 |          196 |        14820.091 |              [1-186] |       13940.020 |
| 142663 |          175 |        12276.664 |              [1-167] |       11595.491 |
| 142664 |          134 |         6755.613 |               [1-80] |        5184.042 |
| 142928 |         1059 |        47768.945 |           [383-578], |       41225.161 |
|        |              |                  |           [617-721], |                 |
|        |              |                  |           [724-1046] |                 |
| 142933 |         1088 |        51417.954 |   [1-92], [194-203], |       44031.712 |
|        |              |                  |           [228-1077] |                 |
| 142935 |           66 |         2668.460 |               [1-47] |        1758.902 |
| 142936 |           83 |         1189.005 |               [1-16] |         577.386 |
| 142953 |          354 |        25414.673 |  [88-333], [342-342] |       21007.826 |
| 142954 |          250 |        19101.623 |              [1-240] |       18137.464 |
| 142970 |          277 |        15367.967 |            [124-266] |       12565.900 |
| 142971 |         1722 |       108989.964 |             [1-1701] |      107097.262 |
| 143004 |          324 |        11356.526 | [256-299], [215-255] |        6856.075 |
| 143005 |          249 |        18886.472 |              [1-239] |       17889.789 |
| 143006 |          145 |        10119.189 |              [1-117] |        8059.309 |
| 143007 |          879 |        50622.568 |              [1-863] |       49434.208 |
| 143008 |          277 |        13152.150 | [128-155], [113-127] |        2034.899 |
| 143179 |          180 |         7398.105 | [128-169], [113-127] |        3978.788 |
| 143181 |         1069 |        59733.990 |  [1-679], [681-1055] |       58549.114 |
| 143187 |          341 |        14990.272 |              [1-329] |       14349.063 |
| 143191 |          181 |         7415.430 |  [1-109], [111-164], |        6869.082 |
|        |              |                  |            [166-172] |                 |
| 143192 |           58 |         2312.013 |               [1-48] |        1859.083 |
| 143193 |          129 |         4069.161 |               [1-76] |        2930.126 |
| 143318 |          164 |        18692.105 | [128-157], [106-127] |        7079.072 |
| 143319 |           72 |        10719.975 |      [8-34], [36-60] |        7355.080 |
| 143320 |          183 |        26062.458 |              [1-171] |       24112.801 |
| 143321 |          114 |        15269.428 |      [1-46], [95-95] |        6118.496 |
| 143322 |          213 |        26744.135 |     [1-15], [30-42], |       18110.010 |
|        |              |                  | [66-118], [130-131], |                 |
|        |              |                  |            [139-202] |                 |
| 143323 |          623 |        68445.201 |     [1-49], [81-607] |       62803.158 |
| 143326 |          280 |        26923.631 |              [1-264] |       25240.384 |
| 143327 |          238 |        21390.836 |              [1-228] |       20380.491 |
| 143328 |          417 |        34641.071 |              [1-404] |       33413.441 |
| 143657 |         2050 |       277009.092 |           [210-516], |      269224.618 |
|        |              |                  |           [518-2034] |                 |
| 143665 |          484 |        15702.694 |              [1-305] |       15576.111 |
| 143727 |          363 |        65962.782 |   [1-135], [143-355] |       62583.918 |
| 143731 |          207 |         3776.009 |               [1-23] |        3637.397 |
| 143827 |          772 |       153238.146 |   [1-219], [221-672] |      132241.198 |
| 143833 |          924 |       134010.038 |              [1-900] |      129787.949 |
| 143835 |          430 |        48476.609 |              [1-284] |       34191.137 |
| 143953 |          633 |       120568.170 | [123-250], [271-621] |      106768.206 |
| 143954 |          200 |        41073.002 |              [1-187] |       37567.711 |
| 143955 |           82 |        16170.214 |               [1-68] |       13033.752 |
| 143956 |           63 |        12163.203 |               [1-41] |        7573.906 |
| 143957 |          171 |        32050.968 |     [1-52], [54-147] |       26516.592 |
| 143959 |          141 |        25247.911 |   [1-102], [104-124] |       21580.020 |
| 143960 |          126 |        21522.334 |              [1-107] |       17879.991 |
| 143961 |          343 |        54769.521 |              [1-308] |       48844.926 |
| 143962 |          395 |        51832.337 |   [1-352], [354-358] |       51250.603 |
| 144010 |           86 |        21054.726 |      [1-8], [10-73], |       16817.848 |
|        |              |                  |              [77-77] |                 |
| 144011 |          551 |       111766.713 |     [1-18], [22-399] |       86832.814 |
| 144086 |          326 |        69465.359 |  [1-196], [198-242], |       61382.679 |
|        |              |                  | [244-265], [267-298] |                 |
| 144089 |         1779 |       256983.036 |  [1-114], [117-161], |      249878.251 |
|        |              |                  |           [163-172], |                 |
|        |              |                  |          [174-1605], |                 |
|        |              |                  |          [1607-1693] |                 |
| 144112 |         1765 |       305872.672 |           [136-236], |      289196.433 |
|        |              |                  |           [238-381], |                 |
|        |              |                  |           [383-437], |                 |
|        |              |                  |          [439-1489], |                 |
|        |              |                  |         [1491-1711], |                 |
|        |              |                  |          [1713-1737] |                 |
| 144114 |          282 |        14881.285 |               [1-79] |       11552.512 |

 ==  =  Total : 
| Delivered LS | Delivered (/μb) | Selected LS | Recorded (/μb) |
-------------------------------------------------------------------
|        70083 |      3609807.910 |       52176 |     3180532.050 |

